0, value, target
319,634.801,636.706
320,634.829,636.734
321,634.817,636.721
322,634.817,636.722
323,634.827,636.732
324,634.825,636.729
325,634.804,636.708
326,634.783,636.687
327,634.723,636.627
328,634.636,636.54
329,634.548,636.452
330,634.448,636.352
331,634.348,636.251
332,634.34,636.243
333,634.332,636.235
334,634.311,636.214
335,634.303,636.206
336,634.296,636.199
337,634.288,636.191
338,634.281,636.184
339,634.259,636.162
340,634.238,636.14
341,634.217,636.119
342,634.19,636.093
343,634.154,636.057
344,634.118,636.02
345,634.08,635.983
346,634.043,635.945
347,634.005,635.907
348,633.971,635.873
349,633.937,635.839
350,633.913,635.814
351,633.891,635.793
352,633.87,635.772
353,633.851,635.753
354,633.833,635.735
355,633.824,635.725
356,633.814,635.716
357,633.804,635.706
358,633.795,635.697
359,633.787,635.688
360,633.777,635.678
361,633.768,635.669
362,633.758,635.66
363,633.749,635.65
364,633.749,635.651
365,633.75,635.651
366,633.721,635.622
367,633.692,635.593
368,633.662,635.563
369,633.633,635.534
370,633.604,635.504
371,633.573,635.474
372,633.548,635.449
373,633.528,635.428
374,633.471,635.371
375,633.435,635.335
376,633.4,635.3
377,633.364,635.264
378,633.325,635.225
379,633.269,635.168
380,633.206,635.105
381,633.143,635.042
382,633.08,634.979
383,633.005,634.904
384,632.945,634.844
385,632.894,634.793
386,632.828,634.727
387,632.778,634.677
388,632.728,634.626
389,632.678,634.576
390,632.628,634.526
391,632.569,634.467
392,632.511,634.408
393,632.452,634.349
394,632.383,634.281
395,632.315,634.212
396,632.276,634.173
397,632.237,634.133
398,632.198,634.095
399,632.168,634.064
400,632.108,634.004
401,632.078,633.974
402,632.048,633.944
403,632.024,633.921
404,632.038,633.934
405,632.03,633.926
406,632.022,633.918
407,632.013,633.909
408,632.006,633.902
409,632.015,633.911
410,632.031,633.927
411,632.047,633.943
412,632.063,633.959
413,632.079,633.975
414,632.079,633.975
415,632.079,633.975
416,632.095,633.991
417,632.094,633.991
418,632.094,633.99
419,632.094,633.99
420,632.093,633.99
421,632.102,633.998
422,632.11,634.007
423,632.119,634.015
424,632.127,634.023
425,632.136,634.032
426,632.144,634.04
427,632.152,634.049
428,632.161,634.057
429,632.161,634.057
430,632.19,634.087
431,632.19,634.087
432,632.19,634.087
433,632.19,634.087
434,632.19,634.087
435,632.191,634.087
436,632.191,634.088
437,632.191,634.088
438,632.218,634.114
439,632.244,634.141
440,632.271,634.168
441,632.298,634.195
442,632.324,634.221
443,632.351,634.248
444,632.378,634.275
445,632.378,634.275
446,632.378,634.276
447,632.378,634.276
448,632.365,634.262
449,632.314,634.211
450,632.34,634.237
451,632.367,634.264
452,632.394,634.291
453,632.421,634.318
454,632.433,634.33
455,632.446,634.343
456,632.459,634.357
457,632.472,634.37
458,632.423,634.32
459,632.373,634.27
460,632.323,634.22
461,632.274,634.171
462,632.224,634.121
463,632.174,634.071
464,632.125,634.021
465,632.075,633.971
466,632.025,633.921
467,631.975,633.871
468,631.932,633.827
469,631.889,633.784
470,631.846,633.741
471,631.803,633.698
472,631.76,633.655
473,631.717,633.612
474,631.673,633.568
475,631.657,633.552
476,631.64,633.535
477,631.624,633.519
478,631.621,633.516
479,631.656,633.551
480,631.613,633.508
481,631.57,633.465
482,631.527,633.422
483,631.484,633.378
484,631.475,633.37
485,631.466,633.36
486,631.456,633.35
487,631.447,633.341
488,631.5,633.395
489,631.553,633.448
490,631.607,633.502
491,631.667,633.562
492,631.73,633.626
493,631.794,633.689
494,631.806,633.701
495,631.841,633.737
496,631.902,633.797
497,631.985,633.881
498,632.036,633.932
499,632.088,633.984
500,632.139,634.036
501,632.145,634.041
502,632.196,634.093
503,632.248,634.145
504,632.3,634.197
505,632.351,634.248
506,632.403,634.3
507,632.454,634.352
508,632.506,634.404
509,632.558,634.455
510,632.609,634.507
511,632.661,634.559
512,632.712,634.611
513,632.764,634.662
514,632.8,634.699
515,632.837,634.735
516,632.873,634.772
517,632.873,634.772
518,632.873,634.772
519,632.869,634.767
520,632.866,634.764
521,632.895,634.793
522,632.883,634.782
523,632.91,634.808
524,632.987,634.886
525,633.006,634.905
526,633.035,634.935
527,633.042,634.941
528,633.047,634.946
529,633.051,634.951
530,633.018,634.918
531,633.023,634.922
532,632.981,634.88
533,632.93,634.829
534,632.879,634.778
535,632.833,634.732
536,632.838,634.737
537,632.843,634.742
538,632.848,634.747
539,632.853,634.752
540,632.858,634.757
541,632.863,634.762
542,632.879,634.777
543,632.894,634.792
544,632.904,634.803
545,632.904,634.803
546,632.905,634.803
547,632.941,634.84
548,632.988,634.887
549,633.046,634.945
550,633.087,634.986
551,633.087,634.987
552,633.157,635.056
553,633.189,635.088
554,633.221,635.12
555,633.288,635.188
556,633.324,635.224
557,633.324,635.224
558,633.345,635.245
559,633.38,635.28
560,633.453,635.354
561,633.535,635.436
562,633.617,635.518
563,633.708,635.609
564,633.799,635.701
565,633.851,635.752
566,633.851,635.753
567,633.852,635.753
568,633.852,635.754
569,633.853,635.754
570,633.853,635.755
571,633.873,635.775
572,633.863,635.765
573,633.853,635.755
574,633.863,635.765
575,633.883,635.785
576,633.903,635.805
577,633.923,635.825
578,633.933,635.835
579,633.936,635.838
580,633.97,635.872
581,633.97,635.871
582,633.938,635.84
583,633.942,635.843
584,633.91,635.812
585,633.912,635.814
586,633.877,635.779
587,633.892,635.793
588,633.907,635.808
589,633.872,635.773
590,633.871,635.773
591,633.871,635.772
592,633.836,635.737
593,633.836,635.737
594,633.835,635.737
595,633.835,635.736
596,633.834,635.736
597,633.834,635.735
598,633.868,635.77
599,633.902,635.803
600,633.935,635.837
601,633.916,635.818
602,633.916,635.818
603,633.917,635.819
604,633.899,635.8
605,633.913,635.814
606,633.927,635.829
607,633.941,635.843
608,633.956,635.858
609,633.97,635.872
610,633.97,635.872
611,634.004,635.906
612,634.038,635.94
613,634.038,635.94
614,634.072,635.974
615,634.072,635.974
616,634.106,636.008
617,634.126,636.028
618,634.125,636.027
619,634.159,636.061
620,634.159,636.061
621,634.158,636.061
622,634.192,636.095
623,634.192,636.094
624,634.191,636.094
625,634.225,636.128
626,634.24,636.143
627,634.255,636.158
628,634.235,636.138
629,634.216,636.119
630,634.183,636.085
631,634.182,636.085
632,634.168,636.071
633,634.142,636.044
634,634.11,636.012
635,634.046,635.948
